mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 511,+1, 3084, 5319,511.58577,    NaN,562.54172,    NaN,    NaN, 0.00978
 511,+1, 3100, 5319,511.58868,    NaN,562.53275,    NaN,    NaN, 0.27583
 511,+1, 3115, 5319,511.59160,    NaN,562.49159,    NaN,    NaN, 0.14801
 511,+1, 3131, 5319,511.59451,    NaN,562.50803,    NaN,    NaN, 0.07183
 511,+1, 3146, 5319,511.59743,    NaN,562.47626,    NaN,    NaN,-0.33133
 511,+1, 3162, 5319,511.60034,    NaN,562.48311,    NaN,    NaN,-0.07615
 511,+1, 3177, 5319,511.60325,    NaN,562.49760,    NaN,    NaN, 0.30715
 511,+1, 3193, 5319,511.60617,    NaN,562.46584,    NaN,    NaN,-0.10458
 511,+1, 3208, 5319,511.60908,    NaN,562.45210,    NaN,    NaN,-0.19662
 511,+1, 3224, 5319,511.61200,    NaN,562.44395,    NaN,    NaN, 0.03155
 511,+1, 3239, 5319,511.61491,    NaN,562.41463,    NaN,    NaN, 0.08384
 511,+1, 3255, 5319,511.61783,    NaN,562.34946,    NaN,    NaN, 0.03820
 511,+1, 3270, 5319,511.62074,    NaN,562.30936,    NaN,    NaN, 0.38591
 511,+1, 3286, 5319,511.62365,    NaN,562.25150,    NaN,    NaN, 0.27548
 511,+1, 3301, 5319,511.62657,    NaN,562.21293,    NaN,    NaN,-0.55724
 511,+1, 3317, 5319,511.62948,    NaN,562.18252,    NaN,    NaN,-0.33000
 511,+1, 3332, 5319,511.63240,    NaN,562.13716,    NaN,    NaN, 0.06277
 511,+1, 3348, 5319,511.63531,    NaN,562.09519,    NaN,    NaN, 0.15962
 511,+1, 3363, 5319,511.63823,    NaN,562.02048,    NaN,    NaN, 0.17429
 511,+1, 3379, 5319,511.64114,    NaN,562.01226,    NaN,    NaN,-0.11307
 511,+1, 3394, 5319,511.64405,    NaN,561.94923,    NaN,    NaN, 0.21501
 511,+1, 3410, 5319,511.64697,    NaN,561.93368,    NaN,    NaN,-0.22589
 511,+1, 3425, 5319,511.64988,    NaN,561.93567,    NaN,    NaN,-0.02304
 511,+1, 3441, 5319,511.65280,    NaN,561.91138,    NaN,    NaN, 0.35809
 511,+1, 3456, 5319,511.65571,    NaN,561.90153,    NaN,    NaN, 0.19286
 511,+1, 3472, 5319,511.65863,    NaN,561.91123,    NaN,    NaN,-0.02928
 511,+1, 3487, 5319,511.66154,    NaN,561.93443,    NaN,    NaN,-0.50956
 511,+1, 3503, 5319,511.66445,    NaN,561.99043,    NaN,    NaN,-0.26443
 511,+1, 3518, 5319,511.66737,    NaN,561.99230,    NaN,    NaN, 0.46465
 511,+1, 3534, 5319,511.67028,    NaN,561.96985,    NaN,    NaN, 0.32911
 511,+1, 3549, 5319,511.67320,    NaN,561.97153,    NaN,    NaN,-0.03277
 511,+1, 3565, 5319,511.67611,    NaN,561.98579,    NaN,    NaN,-0.30254
 511,+1, 3580, 5319,511.67903,    NaN,561.99314,    NaN,    NaN,-0.19911
 511,+1, 3596, 5319,511.68194,    NaN,561.99854,    NaN,    NaN, 0.11148
 511,+1, 3611, 5319,511.68485,    NaN,561.95726,    NaN,    NaN, 0.02095
 511,+1, 3627, 5319,511.68777,    NaN,562.00079,    NaN,    NaN,-0.20723
 511,+1, 3642, 5319,511.69068,    NaN,561.96631,    NaN,    NaN, 0.14762
 511,+1, 3658, 5319,511.69360,    NaN,561.92332,    NaN,    NaN, 0.22642
 511,+1, 3673, 5319,511.69651,    NaN,561.97043,    NaN,    NaN, 0.25814
 511,+1, 3689, 5319,511.69943,    NaN,561.95419,    NaN,    NaN,-0.01778
