PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
6539_C,38.41671196,-82.3755991,467.048,13953209.51,1246422.565,568.568
6540_C,38.41670997,-82.37562099,467.114,13953208.88,1246416.282,568.633
6541_C,38.41670791,-82.37564281,467.08,13953208.22,1246410.023,568.599
6542_C,38.41670597,-82.37566474,467.081,13953207.61,1246403.73,568.6
6543_C,38.41670394,-82.37568657,467.134,13953206.96,1246397.466,568.654
6544_C,38.41670192,-82.37570841,467.143,13953206.32,1246391.201,568.662
6545_C,38.41669993,-82.37573029,467.188,13953205.69,1246384.924,568.708
6546_C,38.41669789,-82.37575222,467.199,13953205.04,1246378.63,568.718
6547_C,38.41669588,-82.37577406,467.176,13953204.4,1246372.364,568.695
6548_C,38.4166938,-82.37579591,467.207,13953203.74,1246366.094,568.726
6549_C,38.41669182,-82.37581786,467.188,13953203.11,1246359.795,568.707
6550_C,38.4166898,-82.37583971,467.212,13953202.47,1246353.527,568.731
6551_C,38.41668783,-82.37586165,467.198,13953201.84,1246347.23,568.716
6552_C,38.41668583,-82.37588354,467.263,13953201.21,1246340.95,568.781
6553_C,38.41668389,-82.37590542,467.267,13953200.59,1246334.672,568.785
6554_C,38.41668175,-82.37592729,467.284,13953199.91,1246328.397,568.803
6555_C,38.41667986,-82.37594926,467.266,13953199.32,1246322.092,568.785
6556_C,38.41667775,-82.37597105,467.335,13953198.64,1246315.84,568.854
6557_C,38.4166758,-82.375993,467.328,13953198.02,1246309.542,568.847
6558_C,38.41667373,-82.37601487,467.428,13953197.37,1246303.267,568.947
6559_C,38.41667179,-82.37603677,467.412,13953196.75,1246296.985,568.931
6560_C,38.4166698,-82.37605865,467.431,13953196.12,1246290.705,568.95
6561_C,38.41666784,-82.37608052,467.364,13953195.5,1246284.432,568.882
6562_C,38.41666584,-82.3761023,467.463,13953194.86,1246278.183,568.981
6563_C,38.41666377,-82.37612406,467.494,13953194.21,1246271.937,569.012
6564_C,38.41666184,-82.37614582,467.525,13953193.59,1246265.695,569.043
6565_C,38.41665983,-82.37616759,467.541,13953192.96,1246259.448,569.059
6566_C,38.41665779,-82.37618928,467.558,13953192.3,1246253.224,569.076
6567_C,38.41665572,-82.37621108,467.547,13953191.65,1246246.968,569.065
6568_C,38.41665375,-82.37623288,467.59,13953191.02,1246240.713,569.108
6569_C,38.41665175,-82.37625462,467.608,13953190.39,1246234.477,569.126
6570_C,38.41664979,-82.37627648,467.642,13953189.77,1246228.205,569.16
6571_C,38.41664785,-82.37629836,467.637,13953189.15,1246221.927,569.155
6572_C,38.41664572,-82.37632034,467.75,13953188.47,1246215.621,569.268
6573_C,38.41664368,-82.37634213,467.774,13953187.82,1246209.367,569.292
6574_C,38.41664176,-82.3763639,467.735,13953187.22,1246203.121,569.252
6575_C,38.4166397,-82.37638555,467.772,13953186.56,1246196.908,569.289
6576_C,38.41663771,-82.37640714,467.763,13953185.93,1246190.713,569.281
6577_C,38.41663578,-82.37642863,467.828,13953185.32,1246184.547,569.345
6578_C,38.41663387,-82.37644991,467.893,13953184.71,1246178.442,569.41
6579_C,38.41663189,-82.37647113,467.904,13953184.08,1246172.352,569.422
6580_C,38.41662996,-82.37649208,467.931,13953183.47,1246166.342,569.449
6581_C,38.41662809,-82.37651304,467.927,13953182.88,1246160.329,569.444
6582_C,38.41662615,-82.37653379,467.931,13953182.26,1246154.374,569.448
6583_C,38.41662419,-82.37655439,468.003,13953181.63,1246148.463,569.52
6584_C,38.41662238,-82.37657489,467.957,13953181.06,1246142.581,569.474
6585_C,38.41662047,-82.37659521,467.968,13953180.45,1246136.752,569.485
6586_C,38.41661862,-82.37661539,467.992,13953179.87,1246130.962,569.51
6587_C,38.41661672,-82.37663534,468.044,13953179.26,1246125.238,569.561
6588_C,38.41661493,-82.37665538,468.001,13953178.7,1246119.487,569.518
6589_C,38.41661311,-82.37667506,468.043,13953178.12,1246113.838,569.56
6590_C,38.4166113,-82.37669462,468.093,13953177.54,1246108.228,569.61
6591_C,38.41660958,-82.37671413,468.051,13953177,1246102.629,569.568
6592_C,38.41660769,-82.37673342,468.091,13953176.39,1246097.095,569.607
6593_C,38.41660593,-82.37675259,468.164,13953175.83,1246091.593,569.681
6594_C,38.41660425,-82.37677167,468.267,13953175.31,1246086.119,569.784
6595_C,38.4166025,-82.3767906,468.17,13953174.75,1246080.688,569.687
6596_C,38.41660068,-82.3768093,468.262,13953174.17,1246075.322,569.778
6597_C,38.41659905,-82.3768278,468.239,13953173.65,1246070.015,569.756
6598_C,38.41659732,-82.37684638,468.241,13953173.1,1246064.683,569.758
6599_C,38.41659552,-82.37686476,468.334,13953172.53,1246059.407,569.851
6600_C,38.41659384,-82.37688303,468.354,13953171.99,1246054.166,569.87
6601_C,38.41659223,-82.37690108,468.289,13953171.48,1246048.988,569.805
6602_C,38.41659054,-82.37691895,468.302,13953170.94,1246043.859,569.818
6603_C,38.41658896,-82.37693693,468.306,13953170.44,1246038.7,569.823
6604_C,38.41658726,-82.3769545,468.318,13953169.9,1246033.659,569.834
6605_C,38.41658555,-82.37697199,468.376,13953169.36,1246028.639,569.892
6606_C,38.41658395,-82.37698942,468.411,13953168.85,1246023.64,569.927
6607_C,38.41658073,-82.3770238,468.483,13953167.82,1246013.774,569.999
6608_C,38.41657759,-82.37705764,468.48,13953166.82,1246004.063,569.996
6609_C,38.41657559,-82.37707849,468.553,13953166.18,1245998.081,570.069
6610_C,38.41657293,-82.37710748,468.578,13953165.34,1245989.763,570.094
6611_C,38.41656974,-82.37714026,468.617,13953164.32,1245980.356,570.133
6612_C,38.41656789,-82.3771604,468.634,13953163.73,1245974.578,570.15
6613_C,38.41656532,-82.3771884,468.621,13953162.91,1245966.543,570.137
6614_C,38.41656241,-82.37722009,468.697,13953161.99,1245957.452,570.213
6615_C,38.41656059,-82.37723967,468.661,13953161.41,1245951.834,570.177
6616_C,38.4165581,-82.37726678,468.684,13953160.62,1245944.055,570.2
6617_C,38.41655527,-82.37729737,468.708,13953159.72,1245935.278,570.224
6618_C,38.4165536,-82.37731625,468.698,13953159.19,1245929.86,570.214
6619_C,38.41655127,-82.37734245,468.751,13953158.46,1245922.342,570.267
6620_C,38.4165484,-82.37737187,468.869,13953157.54,1245913.9,570.385
6621_C,38.41654648,-82.3773936,468.853,13953156.94,1245907.665,570.369
6622_C,38.4165445,-82.37741487,468.917,13953156.31,1245901.564,570.432
6623_C,38.41654194,-82.37744223,468.913,13953155.49,1245893.713,570.428
6624_C,38.41653941,-82.37746851,468.944,13953154.68,1245886.172,570.459
6625_C,38.41653727,-82.37749365,468.891,13953154.01,1245878.958,570.406
6626_C,38.41653497,-82.37751748,468.901,13953153.27,1245872.12,570.416
