PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
6088_B,38.41815878,-82.35950175,460.074,13953667.85,1251041.088,561.63
6089_B,38.41815573,-82.35953439,460.041,13953666.87,1251031.724,561.598
6090_B,38.41815389,-82.3595546,460.013,13953666.29,1251025.926,561.57
6091_B,38.41815126,-82.35958265,460.035,13953665.45,1251017.876,561.591
6092_B,38.41814838,-82.35961444,460.015,13953664.53,1251008.755,561.571
6093_B,38.41814653,-82.35963416,459.993,13953663.95,1251003.096,561.549
6094_B,38.41814397,-82.35966152,459.975,13953663.13,1250995.246,561.531
6095_B,38.41814105,-82.35969255,459.955,13953662.2,1250986.345,561.51
6096_B,38.41813928,-82.35971174,459.954,13953661.63,1250980.837,561.51
6097_B,38.41813684,-82.35973847,459.933,13953660.86,1250973.168,561.488
6098_B,38.41813405,-82.35976878,459.908,13953659.97,1250964.473,561.464
6099_B,38.41813224,-82.35978755,459.923,13953659.39,1250959.085,561.478
6100_B,38.41812989,-82.35981373,459.9,13953658.64,1250951.575,561.456
6101_B,38.41812715,-82.35984338,459.866,13953657.77,1250943.068,561.422
6102_B,38.4181254,-82.35986178,459.893,13953657.21,1250937.789,561.449
6103_B,38.41812309,-82.35988729,459.819,13953656.48,1250930.469,561.375
6104_B,38.41812038,-82.35991625,459.836,13953655.62,1250922.159,561.392
6105_B,38.41811874,-82.35993419,459.863,13953655.1,1250917.012,561.418
6106_B,38.41811648,-82.35995913,459.855,13953654.38,1250909.856,561.41
6107_B,38.41811383,-82.35998737,459.832,13953653.53,1250901.753,561.387
6108_B,38.41811225,-82.36000489,459.866,13953653.03,1250896.728,561.422
6109_B,38.41811001,-82.36002926,459.813,13953652.32,1250889.735,561.369
6110_B,38.41810753,-82.36005672,459.853,13953651.53,1250881.858,561.408
6111_B,38.41810504,-82.36008401,459.874,13953650.74,1250874.026,561.429
6112_B,38.41810259,-82.360111,459.905,13953649.96,1250866.284,561.46
6113_B,38.41810007,-82.3601377,459.915,13953649.16,1250858.622,561.47
6114_B,38.41809758,-82.36016416,459.894,13953648.36,1250851.029,561.449
6115_B,38.41809513,-82.36019035,459.951,13953647.58,1250843.515,561.506
6116_B,38.41809339,-82.36020984,459.92,13953647.03,1250837.922,561.475
6117_B,38.41809155,-82.36022928,459.931,13953646.44,1250832.346,561.485
6118_B,38.41808916,-82.36025493,459.929,13953645.68,1250824.986,561.483
6119_B,38.41808744,-82.36027405,459.91,13953645.13,1250819.501,561.464
6120_B,38.41808568,-82.36029303,459.915,13953644.57,1250814.055,561.469
6121_B,38.41808337,-82.36031824,459.882,13953643.84,1250806.82,561.437
6122_B,38.41808163,-82.36033698,459.868,13953643.29,1250801.446,561.423
6123_B,38.41807991,-82.36035565,459.873,13953642.74,1250796.088,561.427
6124_B,38.41807767,-82.36038034,459.873,13953642.03,1250789.005,561.427
6125_B,38.41807564,-82.36040184,459.858,13953641.38,1250782.834,561.412
6126_B,38.41807311,-82.36042923,459.876,13953640.57,1250774.977,561.431
6127_B,38.41807087,-82.3604534,459.859,13953639.86,1250768.042,561.413
6128_B,38.41806866,-82.36047745,459.825,13953639.16,1250761.139,561.379
6129_B,38.41806642,-82.36050158,459.811,13953638.44,1250754.218,561.365
6130_B,38.4180645,-82.36052269,459.824,13953637.84,1250748.159,561.378
6131_B,38.41806192,-82.3605499,459.829,13953637.01,1250740.354,561.383
6132_B,38.41805966,-82.36057422,459.827,13953636.29,1250733.375,561.381
6133_B,38.41805738,-82.36059863,459.839,13953635.56,1250726.372,561.392
6134_B,38.41805517,-82.36062317,459.812,13953634.86,1250719.329,561.366
6135_B,38.41805313,-82.36064469,459.802,13953634.21,1250713.155,561.355
6136_B,38.41805049,-82.36067244,459.804,13953633.37,1250705.194,561.357
6137_B,38.4180482,-82.36069706,459.777,13953632.64,1250698.128,561.331
6138_B,38.41804594,-82.36072165,459.802,13953631.92,1250691.075,561.355
6139_B,38.41804372,-82.36074614,459.803,13953631.22,1250684.047,561.357
6140_B,38.41804145,-82.36077068,459.783,13953630.49,1250677.007,561.336
6141_B,38.41803917,-82.36079516,459.786,13953629.76,1250669.981,561.34
