brb2rusABCD,Y:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1054_B,RCL,+38.410567519,-82.263924376,479.875,13950514.645,1278378.696,581.586,6.995,09:00:42 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1055_B,RCL,+38.410557858,-82.263937829,479.877,13950511.181,1278374.794,581.587,6.995,09:00:42 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1056_B,RCL,+38.410548223,-82.263951291,479.878,13950507.726,1278370.890,581.589,6.995,09:00:42 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1057_B,RCL,+38.410538583,-82.263964834,479.872,13950504.270,1278366.962,581.583,6.995,09:00:43 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1058_B,RCL,+38.410528892,-82.263978393,479.880,13950500.795,1278363.030,581.590,6.995,09:00:43 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1059_B,RCL,+38.410519208,-82.263991994,479.857,13950497.323,1278359.085,581.568,6.995,09:00:43 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1060_B,RCL,+38.410509605,-82.264005618,479.868,13950493.880,1278355.135,581.578,6.995,09:00:43 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1061_B,RCL,+38.410499922,-82.264019282,479.910,13950490.409,1278351.172,581.621,6.995,09:00:43 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1062_B,RCL,+38.410490262,-82.264033018,479.876,13950486.946,1278347.190,581.587,6.995,09:00:44 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1063_B,RCL,+38.410480621,-82.264046787,479.879,13950483.490,1278343.197,581.590,6.995,09:00:44 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1064_B,RCL,+38.410470984,-82.264060572,479.915,13950480.036,1278339.201,581.625,6.995,09:00:44 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1065_B,RCL,+38.410461297,-82.264074352,479.884,13950476.563,1278335.205,581.594,6.995,09:00:44 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1066_B,RCL,+38.410451630,-82.264088221,479.895,13950473.098,1278331.184,581.605,6.995,09:00:44 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1067_B,RCL,+38.410441951,-82.264102194,479.913,13950469.629,1278327.133,581.623,6.995,09:00:45 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1068_B,RCL,+38.410432322,-82.264116226,479.886,13950466.179,1278323.065,581.596,6.995,09:00:45 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1069_B,RCL,+38.410422615,-82.264130303,479.920,13950462.700,1278318.985,581.630,6.995,09:00:45 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1070_B,RCL,+38.410412889,-82.264144425,479.884,13950459.214,1278314.891,581.594,6.995,09:00:45 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1071_B,RCL,+38.410403217,-82.264158684,479.887,13950455.749,1278310.758,581.597,6.995,09:00:45 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1072_B,RCL,+38.410393459,-82.264172929,479.912,13950452.253,1278306.629,581.622,6.995,09:00:46 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1073_B,RCL,+38.410383762,-82.264187294,479.891,13950448.779,1278302.465,581.601,6.995,09:00:46 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1074_B,RCL,+38.410374011,-82.264201729,479.879,13950445.286,1278298.282,581.588,6.995,09:00:46 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1075_B,RCL,+38.410364279,-82.264216231,479.908,13950441.799,1278294.079,581.618,6.995,09:00:46 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1076_B,RCL,+38.410354532,-82.264230779,479.879,13950438.308,1278289.863,581.589,6.995,09:00:46 5 Feb 2010,0.000,0.000,0.000,0.038,0.056,0.005,,,,1,14
1077_B,RCL,+38.410344784,-82.264245443,479.906,13950434.817,1278285.614,581.615,6.995,09:00:47 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1078_B,RCL,+38.410334982,-82.264260057,479.922,13950431.306,1278281.379,581.632,6.995,09:00:47 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1079_B,RCL,+38.410325189,-82.264274819,479.953,13950427.799,1278277.101,581.663,6.995,09:00:47 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1080_B,RCL,+38.410315403,-82.264289632,479.943,13950424.294,1278272.809,581.653,6.995,09:00:47 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1081_B,RCL,+38.410305664,-82.264304470,479.930,13950420.807,1278268.510,581.639,6.995,09:00:47 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1082_B,RCL,+38.410295899,-82.264319452,479.970,13950417.310,1278264.170,581.679,6.995,09:00:48 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
