Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1090,RailT2,+38.412363717,-82.291140588,480.214,13951279.329,1270590.659,581.894,6.995,10:49:50 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1091,RailT2,+38.412373416,-82.291154286,480.205,13951282.915,1270586.785,581.885,6.995,10:49:51 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1092,RailT2,+38.412383829,-82.291168915,480.172,13951286.765,1270582.648,581.853,6.995,10:49:52 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1093,RailT2,+38.412393529,-82.291182587,480.202,13951290.351,1270578.781,581.882,6.995,10:49:54 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1094,RailT2,+38.412403372,-82.291196406,480.144,13951293.990,1270574.873,581.824,6.995,10:49:55 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1095,RailT2,+38.412412993,-82.291209894,480.166,13951297.547,1270571.058,581.846,6.995,10:49:57 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1096,RailT2,+38.412423456,-82.291224128,480.138,13951301.413,1270567.034,581.818,6.995,10:49:58 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1097,RailT2,+38.412432939,-82.291237162,480.146,13951304.918,1270563.349,581.826,6.995,10:50:00 20 Jan 2010,0,0,0,0.027,0.042,0.003,,,,1,12
1098,RailT2,+38.412442266,-82.291249966,480.128,13951308.365,1270559.729,581.808,6.995,10:50:01 20 Jan 2010,0,0,0,0.027,0.042,0.003,,,,1,12
1099,RailT2,+38.412452614,-82.291263928,480.130,13951312.188,1270555.783,581.810,6.995,10:50:02 20 Jan 2010,0,0,0,0.019,0.034,0.002,,,,1,11
1100,RailT2,+38.412461992,-82.291276788,480.116,13951315.654,1270552.147,581.796,6.995,10:50:03 20 Jan 2010,0,0,0,0.019,0.034,0.002,,,,1,11
1101,RailT2,+38.412471803,-82.291289986,480.084,13951319.278,1270548.416,581.764,6.995,10:50:05 20 Jan 2010,0,0,0,0.025,0.044,0.003,,,,1,11
1102,RailT2,+38.412482133,-82.291303826,480.071,13951323.095,1270544.505,581.752,6.995,10:50:06 20 Jan 2010,0,0,0,0.021,0.033,0.003,,,,1,12
1103,RailT2,+38.412492961,-82.291318423,480.049,13951327.095,1270540.379,581.729,6.995,10:50:07 20 Jan 2010,0,0,0,0.024,0.037,0.003,,,,1,12
1104,RailT2,+38.412504155,-82.291333527,480.050,13951331.231,1270536.109,581.730,6.995,10:50:08 20 Jan 2010,0,0,0,0.021,0.033,0.003,,,,1,12
1105,RailT2,+38.412513751,-82.291346438,480.004,13951334.777,1270532.460,581.684,6.995,10:50:09 20 Jan 2010,0,0,0,0.024,0.037,0.003,,,,1,12
1106,RailT2,+38.412523657,-82.291359569,480.013,13951338.436,1270528.749,581.693,6.995,10:50:10 20 Jan 2010,0,0,0,0.021,0.033,0.003,,,,1,12
